Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dsuz	DS10_00000970	0.1763	0.4241	0.1681	0.4454	0.202	0.265	0.513	48.79	0.712	0.601	548	562	-0.785943	0.035587
Dbia	DB10_00005397	0.1429	0.4725	0.1326	0.4847	0.229	0.361	0.580	42.11	0.772	0.612	448	460	-0.788696	0.034783
Dtak	DT10_00002040	0.1326	0.4695	0.1469	0.4864	0.227	0.374	0.590	40.79	0.769	0.611	463	476	-0.751471	0.037815
Dmel	FBpp0304821	0.1582	0.4638	0.1680	0.4460	0.227	0.321	0.556	46.52	0.731	0.594	457	470	-0.751915	0.038298
Dmel	FBpp0078273	0.1056	0.5280	0.1053	0.5520	0.304	0.548	0.714	34.36	0.832	0.579	185	197	0.334518	0.203046
Dbia	DB10_00007303	0.0683	0.5714	0.0741	0.5625	0.334	0.600	0.746	33.01	0.886	0.599	185	197	0.341117	0.197970
Dsuz	DS10_00009327	0.0688	0.5875	0.0672	0.5556	0.359	0.625	0.761	31.10	0.891	0.601	184	197	0.330965	0.197970
Dtak	DT10_00006100	0.0690	0.5517	0.0890	0.5725	0.336	0.575	0.730	32.74	0.875	0.598	200	213	0.216901	0.187793
Dbia	DB10_00005083	0.1771	0.4779	0.1605	0.3797	0.236	0.358	0.582	44.31	0.714	0.631	737	758	-0.205145	0.097625
Dsuz	DS10_00006504	0.2271	0.4300	0.1849	0.3547	0.230	0.296	0.544	47.81	0.651	0.606	699	722	-0.224377	0.099723
Dtak	DT10_00003667	0.2135	0.4378	0.1587	0.3874	0.230	0.338	0.570	44.41	0.683	0.618	732	753	-0.185525	0.098274
Dmel	FBpp0308251	0.2756	0.3317	0.2413	0.3476	0.252	0.154	0.447	52.51	0.560	0.579	461	478	-0.173431	0.096234
Dbia	DB10_00007726	0.1801	0.4694	0.1408	0.4671	0.247	0.359	0.585	43.62	0.741	0.585	2309	2369	-0.754242	0.051076
Dsuz	DS10_00000102	0.2121	0.4170	0.1717	0.4129	0.216	0.284	0.524	46.91	0.681	0.582	1509	1532	-0.841319	0.028068
Dtak	DT10_00009373	0.1846	0.4583	0.1392	0.4313	0.233	0.316	0.545	45.71	0.730	0.599	1513	1531	-0.803854	0.032005
Dmel	FBpp0087337	0.2338	0.3975	0.1997	0.3894	0.215	0.215	0.480	51.09	0.641	0.565	1447	1462	-0.847401	0.027360
Dbia	DB10_00004426	0.1250	0.5318	0.1004	0.4977	0.281	0.449	0.641	39.32	0.816	0.617	1731	1798	-0.288598	0.072859
Dsuz	DS10_00004983	0.2130	0.4437	0.1591	0.4313	0.219	0.270	0.524	48.59	0.695	0.573	895	927	-0.356634	0.067961
Dtak	DT10_00005858	0.1561	0.5162	0.1085	0.4231	0.243	0.376	0.583	40.96	0.776	0.631	969	1010	-0.226931	0.059406
Dmel	FBpp0290963	0.2154	0.4309	0.1531	0.4073	0.242	0.244	0.495	49.36	0.689	0.597	867	905	-0.195470	0.059669
Dbia	DB10_00009830	0.2085	0.4282	0.2060	0.4093	0.228	0.238	0.507	50.66	0.662	0.561	958	986	-0.401724	0.083164
Dtak	DT10_00006242	0.2280	0.3958	0.2593	0.3665	0.221	0.165	0.459	53.43	0.603	0.544	911	939	-0.427902	0.076677
Dmel	FBpp0306983	0.2557	0.3673	0.2806	0.3642	0.220	0.107	0.428	55.85	0.568	0.519	732	754	-0.315783	0.087533
Dsuz	DS10_00010190	0.2188	0.4134	0.2423	0.3852	0.232	0.197	0.481	52.18	0.627	0.556	809	829	-0.562123	0.069964
Dsuz	DS10_00012494	0.2319	0.4058	0.1377	0.4737	0.284	0.294	0.553	46.70	0.700	0.588	170	177	-0.606215	0.050847
Dbia	DB10_00002762	0.2246	0.4203	0.1387	0.4697	0.294	0.330	0.576	49.87	0.706	0.589	170	177	-0.575141	0.050847
Dtak	DT10_00008434	0.2536	0.4203	0.0949	0.4848	0.302	0.349	0.588	43.66	0.718	0.593	170	177	-0.575141	0.050847
Dmel	FBpp0075979	0.2319	0.3841	0.1606	0.4773	0.286	0.266	0.535	47.72	0.682	0.580	170	177	-0.570621	0.050847
Dtak	DT10_00001651	0.2644	0.4004	0.2143	0.3798	0.264	0.223	0.493	52.02	0.611	0.518	601	620	-0.149355	0.112903
Dbia	DB10_00001359	0.2034	0.4643	0.1664	0.4104	0.252	0.323	0.561	47.22	0.695	0.546	1464	1510	0.077947	0.105298
Dsuz	DS10_00011714	0.2463	0.4463	0.1877	0.3891	0.280	0.283	0.539	49.47	0.650	0.520	778	798	-0.220301	0.117794
Dmel	FBpp0084083	0.2809	0.3976	0.2552	0.3266	0.236	0.163	0.458	54.26	0.569	0.493	670	695	-0.185036	0.110791
Dtak	DT10_00009242	0.1796	0.5170	0.1255	0.3577	0.296	0.365	0.571	44.24	0.735	0.597	347	360	0.315833	0.105556
Dbia	DB10_00009538	0.1187	0.5938	0.0632	0.4074	0.337	0.509	0.669	34.70	0.840	0.633	344	356	0.303932	0.103933
Dsuz	DS10_00004866	0.1776	0.4953	0.1194	0.4008	0.301	0.365	0.574	43.20	0.742	0.597	345	357	0.264986	0.103641
Dmel	FBpp0073525	0.2399	0.4330	0.1558	0.3478	0.274	0.261	0.501	49.51	0.654	0.569	347	360	0.332778	0.105556
Dbia	DB10_00000017	0.1519	0.5689	0.1498	0.4110	0.318	0.357	0.583	42.09	0.763	0.619	725	739	-1.019080	0.050068
Dsuz	DS10_00009408	0.1861	0.5043	0.1716	0.4222	0.280	0.280	0.535	47.37	0.719	0.606	615	627	-1.007496	0.054226
Dtak	DT10_00007183	0.1821	0.5329	0.1809	0.3870	0.290	0.297	0.545	45.48	0.715	0.601	758	772	-1.053238	0.049223
Dmel	FBpp0112047	0.2041	0.4949	0.2088	0.3707	0.280	0.238	0.506	50.21	0.675	0.582	735	751	-0.991345	0.054594
Dbia	DB10_00003450	0.1094	0.5887	0.1370	0.4096	0.280	0.361	0.576	38.94	0.799	0.608	637	652	-0.781135	0.033742
Dtak	DT10_00006950	0.1205	0.5909	0.1286	0.4040	0.291	0.323	0.550	39.70	0.797	0.600	527	537	-0.804656	0.031657
Dmel	FBpp0087305	0.1299	0.5844	0.1041	0.4361	0.296	0.333	0.558	37.15	0.810	0.602	557	570	-0.821404	0.036842
Dsuz	DS10_00002289	0.1353	0.5797	0.1425	0.3747	0.261	0.302	0.532	40.73	0.770	0.582	496	506	-0.694664	0.023715
Dbia	DB10_00003767	0.0836	0.6054	0.1127	0.4191	0.280	0.417	0.610	37.41	0.840	0.639	351	358	-0.779050	0.089385
Dsuz	DS10_00000164	0.1290	0.5548	0.1703	0.3690	0.246	0.335	0.554	44.48	0.758	0.606	359	372	-0.800806	0.096774
Dtak	DT10_00010447	0.1694	0.5114	0.1779	0.3610	0.237	0.271	0.513	47.80	0.716	0.597	359	368	-0.823098	0.097826
Dmel	FBpp0292301	0.1511	0.5177	0.1507	0.3866	0.230	0.290	0.524	45.88	0.751	0.606	353	362	-0.661050	0.099448
Dbia	DB10_00006980	0.1047	0.5552	0.1591	0.4194	0.227	0.393	0.603	42.76	0.784	0.609	426	436	-0.664908	0.038991
Dsuz	DS10_00001140	0.1395	0.5341	0.1797	0.3904	0.224	0.348	0.575	46.79	0.740	0.590	419	429	-0.653613	0.037296
Dtak	DT10_00005556	0.1104	0.5672	0.1210	0.4375	0.259	0.413	0.615	41.00	0.810	0.620	416	425	-0.643059	0.037647
Dmel	FBpp0077743	0.2196	0.4184	0.2849	0.3191	0.216	0.162	0.455	56.97	0.589	0.533	418	428	-0.621729	0.037383
Dbia	DB10_00010723	0.1641	0.5586	0.1075	0.4251	0.259	0.408	0.618	42.24	0.780	0.621	296	302	-0.551656	0.089404
Dsuz	DS10_00004989	0.2600	0.4080	0.1731	0.4422	0.214	0.224	0.502	46.76	0.653	0.563	291	297	-0.588889	0.090909
Dtak	DT10_00005853	0.2085	0.4826	0.0813	0.5075	0.235	0.342	0.577	40.98	0.762	0.596	298	303	-0.571287	0.089109
Dmel	FBpp0070703	0.2932	0.3910	0.1835	0.4019	0.246	0.222	0.500	47.89	0.614	0.542	306	311	-0.580386	0.093248
Dbia	DB10_00007391	0.1918	0.4245	0.1681	0.4717	0.269	0.310	0.553	44.26	0.706	0.612	950	973	-0.461768	0.023638
Dsuz	DS10_00009621	0.1984	0.4212	0.1759	0.4622	0.264	0.285	0.536	45.85	0.695	0.605	947	970	-0.444639	0.023711
Dtak	DT10_00000210	0.2318	0.3834	0.1925	0.4507	0.232	0.223	0.494	50.99	0.655	0.586	890	913	-0.488609	0.023001
Dmel	FBpp0083950	0.2453	0.3740	0.2385	0.3968	0.254	0.180	0.468	51.89	0.604	0.565	943	968	-0.496694	0.023760
Dbia	DB10_00004889	0.0511	0.6089	0.0778	0.4552	0.286	0.482	0.649	33.38	0.892	0.699	518	531	-0.464595	0.080979
Dsuz	DS10_00002841	0.1213	0.6360	0.0651	0.4396	0.298	0.491	0.668	37.37	0.850	0.642	286	294	-0.792517	0.105442
Dtak	DT10_00001453	0.1516	0.4706	0.1533	0.4293	0.239	0.305	0.531	46.34	0.744	0.637	516	530	-0.420377	0.081132
Dmel	FBpp0071314	0.2094	0.3933	0.2198	0.4124	0.255	0.186	0.457	47.66	0.650	0.601	628	644	-0.658075	0.072981
Dbia	DB10_00010781	0.0820	0.6434	0.0864	0.4225	0.291	0.495	0.668	35.72	0.864	0.651	286	296	-0.661487	0.084459
