Gene,locus,Female Expression,Male Expression,Sex_Bias
DS10_00000010,scaffold1:50412-58902,0.95,6.56,male
DS10_00000019,scaffold1:138485-171077,0.03,26.59,male
DS10_00000024,scaffold1:208563-211507,0.18,67.75,male
DS10_00000034,scaffold1:254095-298173,0.02,67.56,male
DS10_00000041,scaffold1:360867-361911,5.54,0.84,female
DS10_00000058,scaffold1:515827-521458,0.46,3.54,male
DS10_00000074,scaffold1:697183-699130,0.02,108.25,male
DS10_00000078,scaffold1:761457-763179,2.10,15.50,male
DS10_00000099,scaffold1:871629-881205,0.03,5.99,male
DS10_00000105,scaffold1:1102514-1103180,0.00,79.89,male
DS10_00000122,scaffold1:1473153-1521996,0.51,12.23,male
DS10_00000126,scaffold1:1572523-1589908,3.72,29.93,male
DS10_00000144,scaffold1:1765690-1770175,2.29,0.16,female
DS10_00000165,scaffold1:1986921-1987956,0.00,31.00,male
DS10_00000167,scaffold1:2014864-2015641,0.05,352.66,male
DS10_00000169,scaffold1:2018789-2019899,0.00,31.63,male
DS10_00000170,scaffold1:2022179-2023328,0.00,34.89,male
DS10_00000174,scaffold1:2063231-2066173,0.00,53.04,male
DS10_00000175,scaffold1:2067012-2069688,0.00,21.41,male
DS10_00000179,scaffold1:2148730-2149477,0.00,195.63,male
DS10_00000182,scaffold1:2198872-2205568,0.01,6.42,male
DS10_00000211,scaffold1:2569244-2576794,10.59,41.74,male
DS10_00000212,scaffold1:2579423-2584418,13.58,67.34,male
DS10_00000215,scaffold1:2602592-2608625,0.00,44.94,male
DS10_00000217,scaffold1:2615357-2616662,0.03,9.53,male
DS10_00000220,scaffold1:2690357-2690957,0.00,33.39,male
DS10_00000222,scaffold1:2773177-2774635,0.00,37.67,male
DS10_00000224,scaffold1:2823377-2823911,0.00,76.72,male
DS10_00000238,scaffold1:3079851-3086635,0.01,2.41,male
DS10_00000254,scaffold1:3267469-3268920,0.65,24.52,male
DS10_00000255,scaffold1:3269899-3272212,0.79,46.01,male
DS10_00000266,scaffold1:3440769-3441051,41.70,0.64,female
DS10_00000269,scaffold1:3445463-3448095,2.52,36.37,male
DS10_00000273,scaffold1:3457514-3459842,2.32,21.30,male
DS10_00000294,scaffold1:3560513-3571213,0.02,18.79,male
DS10_00000296,scaffold1:3605345-3606320,0.00,44.96,male
DS10_00000304,scaffold1:3722034-3725787,0.16,4.83,male
DS10_00000307,scaffold1:3740175-3749073,0.03,4.94,male
DS10_00000309,scaffold1:3779516-3780587,0.16,31.41,male
DS10_00000318,scaffold1:3876299-3877209,0.58,6.62,male
DS10_00000319,scaffold1:3886337-3886889,0.10,64.44,male
DS10_00000320,scaffold1:3894132-3899177,29.35,3.36,female
DS10_00000322,scaffold1:3902887-3903463,0.00,73.76,male
DS10_00000326,scaffold1:3931791-3932414,0.00,69.84,male
DS10_00000328,scaffold1:3946326-3952310,3.07,0.05,female
DS10_00000330,scaffold1:3966381-3969940,0.00,25.88,male
DS10_00000347,scaffold1:4098412-4112931,0.30,2.93,male
DS10_00000359,scaffold1:4188097-4189399,0.22,46.49,male
DS10_00000361,scaffold1:4192145-4197064,0.04,52.21,male
DS10_00000390,scaffold1:4313749-4318843,0.02,71.31,male
DS10_00000393,scaffold1:4381235-4384495,0.00,140.71,male
DS10_00000394,scaffold1:4385278-4408009,6.21,54.38,male
DS10_00000397,scaffold1:4426946-4427808,0.33,42.64,male
DS10_00000430,scaffold1:4560916-4565048,0.01,19.69,male
DS10_00000431,scaffold1:4576587-4578798,0.00,9.38,male
DS10_00000433,scaffold1:4607767-4609822,0.07,2.38,male
DS10_00000434,scaffold1:4611336-4614571,46.77,452.30,male
DS10_00000441,scaffold1:4756455-4777707,1.48,7.07,male
DS10_00000454,scaffold1:4827568-4830580,163.78,44.71,female
DS10_00000479,scaffold1:5150721-5151760,0.10,36.62,male
DS10_00000481,scaffold1:5161289-5161816,0.00,102.11,male
DS10_00000483,scaffold1:5232015-5234980,0.02,30.76,male
DS10_00000490,scaffold1:5326075-5326591,0.28,7.90,male
DS10_00000491,scaffold1:5327006-5327508,0.58,10.16,male
DS10_00000512,scaffold1:5462863-5464890,0.72,32.82,male
DS10_00000521,scaffold1:5539688-5540267,0.15,65.05,male
DS10_00000533,scaffold1:5668931-5669615,0.00,52.07,male
DS10_00000541,scaffold1:5854926-5876637,1.24,7.14,male
DS10_00000576,scaffold1:6127436-6128402,16.39,2.45,female
DS10_00000586,scaffold1:6242755-6249255,0.55,131.66,male
DS10_00000590,scaffold1:6276938-6289732,0.39,6.08,male
DS10_00000596,scaffold1:6327789-6329442,0.00,34.78,male
DS10_00000600,scaffold1:6367817-6368950,0.74,4.98,male
DS10_00000611,scaffold1:6398665-6400298,0.21,8.39,male
DS10_00000618,scaffold1:6494012-6495069,0.04,22.05,male
DS10_00000619,scaffold1:6503497-6504261,0.00,39.13,male
DS10_00000623,scaffold1:6513863-6518058,0.00,19.66,male
DS10_00000636,scaffold1:6620414-6629074,326.70,67.07,female
DS10_00000644,scaffold1:6692924-6694037,0.04,13.10,male
DS10_00000662,scaffold1:6875129-6881940,6.03,37.22,male
DS10_00000666,scaffold1:6924216-6928845,0.00,32.00,male
DS10_00000669,scaffold1:6964797-6974972,0.01,45.62,male
DS10_00000689,scaffold1:7206514-7207146,0.11,313.63,male
DS10_00000690,scaffold1:7211637-7212237,0.11,214.16,male
DS10_00000703,scaffold1:7279997-7281056,0.00,26.81,male
DS10_00000706,scaffold1:7326855-7328232,0.27,29.76,male
DS10_00000711,scaffold1:7414311-7420219,0.19,5.51,male
DS10_00000714,scaffold1:7442050-7444144,17.88,0.12,female
