Gene	Taxon	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
1	DB10_00000003	Dbia	0.2753	0.3865	0.2284	0.3882	0.228	0.184	0.472	36.15625	0.6	0.524	1364	1406	-0.509744	0.05761
2	DB10_00000004	Dbia	0.2569	0.4538	0.2297	0.342	0.235	0.207	0.495	31.828125	0.615	0.539	998	1016	-0.519587	0.08563
3	DB10_00000006	Dbia	0.1026	0.559	0.0677	0.5484	0.276	0.524	0.693	8.34375	0.865	0.631	244	251	-0.803586	0.067729
4	DB10_00000010	Dbia	0.1673	0.5139	0.1406	0.5242	0.298	0.387	0.615	18.28125	0.767	0.561	1089	1134	-0.868959	0.075838
5	DB10_00000012	Dbia	0.1382	0.5189	0.0863	0.5494	0.286	0.468	0.662	12.84375	0.821	0.63	677	696	-0.483046	0.070402
6	DB10_00000017	Dbia	0.1519	0.5689	0.1498	0.411	0.318	0.357	0.583	18.28125	0.763	0.619	725	739	-1.01908	0.050068
7	DB10_00000019	Dbia	0.322	0.322	0.2778	0.38	0.234	0.101	0.431	47.09375	0.528	0.471	144	148	-0.182432	0.067568
8	DB10_00000021	Dbia	0.4242	0.2424	0.3333	0.3333	0.199	-0.113	0.3	NA	0.425	0.405	40	42	-0.726191	0.166667
9	DB10_00000022	Dbia	0.1081	0.6622	0.0345	0.3103	0.302	0.547	0.688	9.515625	0.87	0.658	77	78	0.512821	0.205128
10	DB10_00000026	Dbia	0.1805	0.5043	0.1091	0.4459	0.272	0.448	0.642	17.46875	0.758	0.577	818	846	0.148108	0.107565
11	DB10_00000028	Dbia	0.2223	0.4452	0.1736	0.3688	0.252	0.248	0.501	28.953125	0.669	0.605	1909	1943	-0.758415	0.05404
12	DB10_00000030	Dbia	0.2184	0.4369	0.1742	0.4198	0.226	0.305	0.547	28.4375	0.675	0.536	234	250	0.4092	0.108
13	DB10_00000037	Dbia	0.1608	0.5176	0.0968	0.4539	0.252	0.459	0.645	15.828125	0.78	0.57	214	224	0.434821	0.120536
14	DB10_00000043	Dbia	0.1423	0.4972	0.1272	0.4721	0.262	0.344	0.565	17.03125	0.781	0.63	639	656	-0.755031	0.050305
15	DB10_00000046	Dbia	0.2396	0.4424	0.171	0.4051	0.285	0.318	0.561	26.609375	0.667	0.561	528	548	-0.176095	0.082117
16	DB10_00000054	Dbia	0.227	0.3568	0.1658	0.4645	0.211	0.158	0.442	36.25	0.674	0.597	224	231	-0.29394	0.030303
17	DB10_00000063	Dbia	0.1458	0.4834	0.1136	0.4344	0.213	0.379	0.577	18.234375	0.777	0.638	627	645	-0.355659	0.044961
18	DB10_00000064	Dbia	0.1993	0.4655	0.1898	0.3635	0.247	0.31	0.546	24.265625	0.677	0.597	1040	1059	-0.493957	0.056657
19	DB10_00000065	Dbia	0.1828	0.5248	0.1317	0.4968	0.306	0.414	0.632	18.578125	0.756	0.558	468	483	-0.467702	0.120083
20	DB10_00000066	Dbia	0.227	0.4649	0.1298	0.4541	0.285	0.391	0.611	22.25	0.717	0.568	244	260	-0.271154	0.042308
